Comunidad autónoma y tamaño del municipio;Indicador;Abonados;Total
Castilla-La Mancha;En porcentaje de la población total;Abonados o socios: Privados;9,2
Castilla-La Mancha;En porcentaje de la población total;Abonados o socios de gimnasios: Total;9,9
Castilla-La Mancha;En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;6,1
Castilla-La Mancha;En porcentaje de la población total;Abonados o socios de gimnasios: Privados;4,3
Castilla-La Mancha;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;10,8
Castilla-La Mancha;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;5,8
Castilla-La Mancha;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;5,5
Castilla-La Mancha;En porcentaje de la población que practicó deporte en el último año;Total;100
Castilla-La Mancha;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;38,5
Castilla-La Mancha;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;23,1
Castilla-La Mancha;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;18,6
Castilla-La Mancha;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;21,3
Castilla-La Mancha;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;13,7
Castilla-La Mancha;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;8,5
Castilla-La Mancha;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;22,6
Castilla-La Mancha;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;12,3
Castilla-La Mancha;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;11,5
Cataluña;En porcentaje de la población total;Total;100
Cataluña;En porcentaje de la población total;Abonados o socios: Total;34,0
Cataluña;En porcentaje de la población total;Abonados o socios: Públicos;22,5
Cataluña;En porcentaje de la población total;Abonados o socios: Privados;13,1
Cataluña;En porcentaje de la población total;Abonados o socios de gimnasios: Total;22,0
Cataluña;En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;14,3
Cataluña;En porcentaje de la población total;Abonados o socios de gimnasios: Privados;8,3
Cataluña;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;14,5
Cataluña;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;9,7
Cataluña;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;5,3
Cataluña;En porcentaje de la población que practicó deporte en el último año;Total;100
