Indicador;Tipo de bienes y servicios;periodo;Total
Gasto medio por hogar (Euros);TOTAL;2009;262,0
Gasto medio por hogar (Euros);TOTAL;2008;285,1
Gasto medio por hogar (Euros);TOTAL;2007;283,3
Gasto medio por hogar (Euros);TOTAL;2006;255,5
Gasto medio por hogar (Euros);1. Servicios recreativos y deportivos;2023;251,9
Gasto medio por hogar (Euros);1. Servicios recreativos y deportivos;2022;246,0
Gasto medio por hogar (Euros);1. Servicios recreativos y deportivos;2021;159,3
Gasto medio por hogar (Euros);1. Servicios recreativos y deportivos;2020;117,5
Gasto medio por hogar (Euros);1. Servicios recreativos y deportivos;2019;240,2
Gasto medio por hogar (Euros);1. Servicios recreativos y deportivos;2018;228,1
Gasto medio por hogar (Euros);1. Servicios recreativos y deportivos;2017;243,4
Gasto medio por hogar (Euros);1. Servicios recreativos y deportivos;2016;208,5
Gasto medio por hogar (Euros);1. Servicios recreativos y deportivos;2015;180,3
Gasto medio por hogar (Euros);1. Servicios recreativos y deportivos;2014;172,2
Gasto medio por hogar (Euros);1. Servicios recreativos y deportivos;2013;194,5
Gasto medio por hogar (Euros);1. Servicios recreativos y deportivos;2012;174,9
Gasto medio por hogar (Euros);1. Servicios recreativos y deportivos;2011;192,1
Gasto medio por hogar (Euros);1. Servicios recreativos y deportivos;2010;183,2
Gasto medio por hogar (Euros);1. Servicios recreativos y deportivos;2009;185,0
Gasto medio por hogar (Euros);1. Servicios recreativos y deportivos;2008;211,6
Gasto medio por hogar (Euros);1. Servicios recreativos y deportivos;2007;192,6
Gasto medio por hogar (Euros);1. Servicios recreativos y deportivos;2006;181,6
Gasto medio por hogar (Euros);1.1. Asistencia a eventos;2023;48,4
Gasto medio por hogar (Euros);1.1. Asistencia a eventos;2022;38,4
Gasto medio por hogar (Euros);1.1. Asistencia a eventos;2021;16,3
Gasto medio por hogar (Euros);1.1. Asistencia a eventos;2020;11,4
Gasto medio por hogar (Euros);1.1. Asistencia a eventos;2019;30,2
Gasto medio por hogar (Euros);1.1. Asistencia a eventos;2018;35,7
Gasto medio por hogar (Euros);1.1. Asistencia a eventos;2017;36,5
Gasto medio por hogar (Euros);1.1. Asistencia a eventos;2016;46,6
Gasto medio por hogar (Euros);1.1. Asistencia a eventos;2015;39,7
Gasto medio por hogar (Euros);1.1. Asistencia a eventos;2014;37,9
Gasto medio por hogar (Euros);1.1. Asistencia a eventos;2013;42,8
Gasto medio por hogar (Euros);1.1. Asistencia a eventos;2012;38,5
Gasto medio por hogar (Euros);1.1. Asistencia a eventos;2011;42,3
Gasto medio por hogar (Euros);1.1. Asistencia a eventos;2010;40,3
Gasto medio por hogar (Euros);1.1. Asistencia a eventos;2009;40,7
Gasto medio por hogar (Euros);1.1. Asistencia a eventos;2008;46,6
Gasto medio por hogar (Euros);1.1. Asistencia a eventos;2007;42,4
Gasto medio por hogar (Euros);1.1. Asistencia a eventos;2006;40,0
Gasto medio por hogar (Euros);1.2. Participación;2023;203,5
Gasto medio por hogar (Euros);1.2. Participación;2022;207,6
Gasto medio por hogar (Euros);1.2. Participación;2021;143,0
Gasto medio por hogar (Euros);1.2. Participación;2020;106,1
Gasto medio por hogar (Euros);1.2. Participación;2019;210,1
Gasto medio por hogar (Euros);1.2. Participación;2018;192,4
Gasto medio por hogar (Euros);1.2. Participación;2017;206,9
Gasto medio por hogar (Euros);1.2. Participación;2016;161,9
Gasto medio por hogar (Euros);1.2. Participación;2015;140,6
Gasto medio por hogar (Euros);1.2. Participación;2014;134,3
Gasto medio por hogar (Euros);1.2. Participación;2013;151,7
Gasto medio por hogar (Euros);1.2. Participación;2012;136,4
Gasto medio por hogar (Euros);1.2. Participación;2011;149,8
Gasto medio por hogar (Euros);1.2. Participación;2010;142,9
Gasto medio por hogar (Euros);1.2. Participación;2009;144,3
Gasto medio por hogar (Euros);1.2. Participación;2008;165,0
Gasto medio por hogar (Euros);1.2. Participación;2007;150,3
Gasto medio por hogar (Euros);1.2. Participación;2006;141,6
Gasto medio por hogar (Euros);2. Equipos relacionados con los deportes y el ocio;2023;75,7
Gasto medio por hogar (Euros);2. Equipos relacionados con los deportes y el ocio;2022;76,2
Gasto medio por hogar (Euros);2. Equipos relacionados con los deportes y el ocio;2021;73,7
Gasto medio por hogar (Euros);2. Equipos relacionados con los deportes y el ocio;2020;64,7
Gasto medio por hogar (Euros);2. Equipos relacionados con los deportes y el ocio;2019;69,5
Gasto medio por hogar (Euros);2. Equipos relacionados con los deportes y el ocio;2018;68,6
Gasto medio por hogar (Euros);2. Equipos relacionados con los deportes y el ocio;2017;63,8
Gasto medio por hogar (Euros);2. Equipos relacionados con los deportes y el ocio;2016;58,5
Gasto medio por hogar (Euros);2. Equipos relacionados con los deportes y el ocio;2015;61,5
Gasto medio por hogar (Euros);2. Equipos relacionados con los deportes y el ocio;2014;57,9
Gasto medio por hogar (Euros);2. Equipos relacionados con los deportes y el ocio;2013;56,4
Gasto medio por hogar (Euros);2. Equipos relacionados con los deportes y el ocio;2012;72,1
Gasto medio por hogar (Euros);2. Equipos relacionados con los deportes y el ocio;2011;74,9
Gasto medio por hogar (Euros);2. Equipos relacionados con los deportes y el ocio;2010;82,7
Gasto medio por hogar (Euros);2. Equipos relacionados con los deportes y el ocio;2009;77,0
Gasto medio por hogar (Euros);2. Equipos relacionados con los deportes y el ocio;2008;73,5
Gasto medio por hogar (Euros);2. Equipos relacionados con los deportes y el ocio;2007;90,7
Gasto medio por hogar (Euros);2. Equipos relacionados con los deportes y el ocio;2006;74,0
Gasto medio por hogar (Euros);2.1. Grandes equipos;2023;18,1
Gasto medio por hogar (Euros);2.1. Grandes equipos;2022;18,1
Gasto medio por hogar (Euros);2.1. Grandes equipos;2021;23,2
Gasto medio por hogar (Euros);2.1. Grandes equipos;2020;15,4
Gasto medio por hogar (Euros);2.1. Grandes equipos;2019;16,2
Gasto medio por hogar (Euros);2.1. Grandes equipos;2018;11,9
Gasto medio por hogar (Euros);2.1. Grandes equipos;2017;14,5
Gasto medio por hogar (Euros);2.1. Grandes equipos;2016;11,9
Gasto medio por hogar (Euros);2.1. Grandes equipos;2015;8,9
Gasto medio por hogar (Euros);2.1. Grandes equipos;2014;7,0
Gasto medio por hogar (Euros);2.1. Grandes equipos;2013;7,8
Gasto medio por hogar (Euros);2.1. Grandes equipos;2012;22,5
Gasto medio por hogar (Euros);2.1. Grandes equipos;2011;21,1
Gasto medio por hogar (Euros);2.1. Grandes equipos;2010;29,4
Gasto medio por hogar (Euros);2.1. Grandes equipos;2009;22,9
Gasto medio por hogar (Euros);2.1. Grandes equipos;2008;21,9
Gasto medio por hogar (Euros);2.1. Grandes equipos;2007;36,0
Gasto medio por hogar (Euros);2.1. Grandes equipos;2006;19,7
Gasto medio por hogar (Euros);2.2. Otros equipos;2023;38,6
Gasto medio por hogar (Euros);2.2. Otros equipos;2022;37,7
Gasto medio por hogar (Euros);2.2. Otros equipos;2021;30,1
Gasto medio por hogar (Euros);2.2. Otros equipos;2020;30,5
Gasto medio por hogar (Euros);2.2. Otros equipos;2019;35,8
Gasto medio por hogar (Euros);2.2. Otros equipos;2018;35,8
Gasto medio por hogar (Euros);2.2. Otros equipos;2017;33,8
Gasto medio por hogar (Euros);2.2. Otros equipos;2016;28,5
Gasto medio por hogar (Euros);2.2. Otros equipos;2015;33,7
Gasto medio por hogar (Euros);2.2. Otros equipos;2014;33,6
Gasto medio por hogar (Euros);2.2. Otros equipos;2013;31,5
Gasto medio por hogar (Euros);2.2. Otros equipos;2012;32,5
Gasto medio por hogar (Euros);2.2. Otros equipos;2011;35,7
Gasto medio por hogar (Euros);2.2. Otros equipos;2010;36,5
Gasto medio por hogar (Euros);2.2. Otros equipos;2009;36,9
Gasto medio por hogar (Euros);2.2. Otros equipos;2008;37,1
Gasto medio por hogar (Euros);2.2. Otros equipos;2007;41,1
Gasto medio por hogar (Euros);2.2. Otros equipos;2006;40,5
Gasto medio por hogar (Euros);2.3. Bicicletas;2023;18,9
Gasto medio por hogar (Euros);2.3. Bicicletas;2022;20,5
Gasto medio por hogar (Euros);2.3. Bicicletas;2021;20,4
Gasto medio por hogar (Euros);2.3. Bicicletas;2020;18,7
Gasto medio por hogar (Euros);2.3. Bicicletas;2019;17,5
Gasto medio por hogar (Euros);2.3. Bicicletas;2018;21,0
Gasto medio por hogar (Euros);2.3. Bicicletas;2017;15,5
Gasto medio por hogar (Euros);2.3. Bicicletas;2016;18,1
Gasto medio por hogar (Euros);2.3. Bicicletas;2015;18,9
Gasto medio por hogar (Euros);2.3. Bicicletas;2014;17,3
Gasto medio por hogar (Euros);2.3. Bicicletas;2013;17,2
Gasto medio por hogar (Euros);2.3. Bicicletas;2012;17,1
Gasto medio por hogar (Euros);2.3. Bicicletas;2011;18,2
Gasto medio por hogar (Euros);2.3. Bicicletas;2010;16,9
Gasto medio por hogar (Euros);2.3. Bicicletas;2009;17,2
Gasto medio por hogar (Euros);2.3. Bicicletas;2008;14,6
Gasto medio por hogar (Euros);2.3. Bicicletas;2007;13,6
Gasto medio por hogar (Euros);2.3. Bicicletas;2006;13,8
Gasto medio por unidad de consumo (Euros);TOTAL;2023;194,4
Gasto medio por unidad de consumo (Euros);TOTAL;2022;192,4
Gasto medio por unidad de consumo (Euros);TOTAL;2021;138,7
Gasto medio por unidad de consumo (Euros);TOTAL;2020;108,4
Gasto medio por unidad de consumo (Euros);TOTAL;2019;184,4
Gasto medio por unidad de consumo (Euros);TOTAL;2018;176,9
Gasto medio por unidad de consumo (Euros);TOTAL;2017;183,1
Gasto medio por unidad de consumo (Euros);TOTAL;2016;159,1
Gasto medio por unidad de consumo (Euros);TOTAL;2015;143,7
Gasto medio por unidad de consumo (Euros);TOTAL;2014;136,4
