Indicador;Intervalos de ingresos mensuales del hogar;periodo;Total
Gasto medio por hogar (Euros);Entre 2.000 y 2.499 euros;2018;324,4
Gasto medio por hogar (Euros);Entre 2.000 y 2.499 euros;2017;339,7
Gasto medio por hogar (Euros);Entre 2.000 y 2.499 euros;2016;286,0
Gasto medio por hogar (Euros);Entre 2.000 y 2.499 euros;2015;280,2
Gasto medio por hogar (Euros);Entre 2.000 y 2.499 euros;2014;306,2
Gasto medio por hogar (Euros);Entre 2.000 y 2.499 euros;2013;302,5
Gasto medio por hogar (Euros);Entre 2.000 y 2.499 euros;2012;363,3
Gasto medio por hogar (Euros);Entre 2.000 y 2.499 euros;2011;302,2
Gasto medio por hogar (Euros);Entre 2.000 y 2.499 euros;2010;311,3
Gasto medio por hogar (Euros);Entre 2.000 y 2.499 euros;2009;318,8
Gasto medio por hogar (Euros);Entre 2.000 y 2.499 euros;2008;295,5
Gasto medio por hogar (Euros);Entre 2.000 y 2.499 euros;2007;335,2
Gasto medio por hogar (Euros);Entre 2.000 y 2.499 euros;2006;386,1
Gasto medio por hogar (Euros);Entre 2.500 y 2.999 euros;2023;323,9
Gasto medio por hogar (Euros);Entre 2.500 y 2.999 euros;2022;417,7
Gasto medio por hogar (Euros);Entre 2.500 y 2.999 euros;2021;264,1
Gasto medio por hogar (Euros);Entre 2.500 y 2.999 euros;2020;199,4
Gasto medio por hogar (Euros);Entre 2.500 y 2.999 euros;2019;418,7
Gasto medio por hogar (Euros);Entre 2.500 y 2.999 euros;2018;399,9
Gasto medio por hogar (Euros);Entre 2.500 y 2.999 euros;2017;412,5
Gasto medio por hogar (Euros);Entre 2.500 y 2.999 euros;2016;413,7
Gasto medio por hogar (Euros);Entre 2.500 y 2.999 euros;2015;390,9
Gasto medio por hogar (Euros);Entre 2.500 y 2.999 euros;2014;349,0
Gasto medio por hogar (Euros);Entre 2.500 y 2.999 euros;2013;430,6
Gasto medio por hogar (Euros);Entre 2.500 y 2.999 euros;2012;374,3
Gasto medio por hogar (Euros);Entre 2.500 y 2.999 euros;2011;370,1
Gasto medio por hogar (Euros);Entre 2.500 y 2.999 euros;2010;407,3
Gasto medio por hogar (Euros);Entre 2.500 y 2.999 euros;2009;413,1
Gasto medio por hogar (Euros);Entre 2.500 y 2.999 euros;2008;448,2
Gasto medio por hogar (Euros);Entre 2.500 y 2.999 euros;2007;540,3
Gasto medio por hogar (Euros);Entre 2.500 y 2.999 euros;2006;360,4
Gasto medio por hogar (Euros);3.000 y más euros;2023;667,2
Gasto medio por hogar (Euros);3.000 y más euros;2022;652,4
Gasto medio por hogar (Euros);3.000 y más euros;2021;513,7
Gasto medio por hogar (Euros);3.000 y más euros;2020;414,2
Gasto medio por hogar (Euros);3.000 y más euros;2019;691,5
Gasto medio por hogar (Euros);3.000 y más euros;2018;692,1
Gasto medio por hogar (Euros);3.000 y más euros;2017;749,2
Gasto medio por hogar (Euros);3.000 y más euros;2016;605,6
