Indicador;Sexo, edad, nivel estudios, sit. labora, estado civil, tipo de hogar;periodo;Total
TOTAL (Millones de euros);Estado civil: Viudo;2014;164,9
TOTAL (Millones de euros);Estado civil: Viudo;2013;201,3
TOTAL (Millones de euros);Estado civil: Viudo;2012;196,8
TOTAL (Millones de euros);Estado civil: Viudo;2011;258,4
TOTAL (Millones de euros);Estado civil: Viudo;2010;185,3
TOTAL (Millones de euros);Estado civil: Viudo;2009;124,0
TOTAL (Millones de euros);Estado civil: Viudo;2008;132,0
TOTAL (Millones de euros);Estado civil: Viudo;2007;126,4
TOTAL (Millones de euros);Estado civil: Viudo;2006;139,3
TOTAL (Millones de euros);Estado civil: Separado;2023;60,2
TOTAL (Millones de euros);Estado civil: Separado;2022;145,3
TOTAL (Millones de euros);Estado civil: Separado;2021;102,2
TOTAL (Millones de euros);Estado civil: Separado;2020;58,8
TOTAL (Millones de euros);Estado civil: Separado;2019;79,9
TOTAL (Millones de euros);Estado civil: Separado;2018;90,8
TOTAL (Millones de euros);Estado civil: Separado;2017;88,8
TOTAL (Millones de euros);Estado civil: Separado;2016;95,4
TOTAL (Millones de euros);Estado civil: Separado;2015;100,7
TOTAL (Millones de euros);Estado civil: Separado;2014;129,3
TOTAL (Millones de euros);Estado civil: Separado;2013;109,1
TOTAL (Millones de euros);Estado civil: Separado;2012;154,2
TOTAL (Millones de euros);Estado civil: Separado;2011;128,7
TOTAL (Millones de euros);Estado civil: Separado;2010;128,2
TOTAL (Millones de euros);Estado civil: Separado;2009;110,3
TOTAL (Millones de euros);Estado civil: Separado;2008;75,8
TOTAL (Millones de euros);Estado civil: Separado;2007;102,6
TOTAL (Millones de euros);Estado civil: Separado;2006;93,5
TOTAL (Millones de euros);Estado civil: Divorciado;2023;397,0
TOTAL (Millones de euros);Estado civil: Divorciado;2022;386,1
TOTAL (Millones de euros);Estado civil: Divorciado;2021;383,0
TOTAL (Millones de euros);Estado civil: Divorciado;2020;201,5
TOTAL (Millones de euros);Estado civil: Divorciado;2019;371,5
TOTAL (Millones de euros);Estado civil: Divorciado;2018;335,7
TOTAL (Millones de euros);Estado civil: Divorciado;2017;383,4
TOTAL (Millones de euros);Estado civil: Divorciado;2016;382,6
TOTAL (Millones de euros);Estado civil: Divorciado;2015;254,7
TOTAL (Millones de euros);Estado civil: Divorciado;2014;326,4
TOTAL (Millones de euros);Estado civil: Divorciado;2013;242,8
TOTAL (Millones de euros);Estado civil: Divorciado;2012;371,3
