Indicador;Comunidad autónoma;periodo;Total
Porcentaje;Castilla-La Mancha;2013;0,8
Porcentaje;Castilla-La Mancha;2012;0,7
Porcentaje;Castilla-La Mancha;2011;0,7
Porcentaje;Castilla-La Mancha;2010;0,6
Porcentaje;Castilla-La Mancha;2009;0,6
Porcentaje;Castilla-La Mancha;2008;0,6
Porcentaje;Castilla-La Mancha;2007;0,6
Porcentaje;Castilla-La Mancha;2006;0,5
Porcentaje;Cataluña;2023;0,9
Porcentaje;Cataluña;2022;0,9
Porcentaje;Cataluña;2021;0,8
Porcentaje;Cataluña;2020;0,6
Porcentaje;Cataluña;2019;1,2
Porcentaje;Cataluña;2018;1,1
Porcentaje;Cataluña;2017;1,2
Porcentaje;Cataluña;2016;0,9
Porcentaje;Cataluña;2015;0,8
Porcentaje;Cataluña;2014;0,8
Porcentaje;Cataluña;2013;0,8
Porcentaje;Cataluña;2012;0,8
Porcentaje;Cataluña;2011;0,9
Porcentaje;Cataluña;2010;0,8
Porcentaje;Cataluña;2009;0,8
Porcentaje;Cataluña;2008;0,7
Porcentaje;Cataluña;2007;0,9
Porcentaje;Cataluña;2006;0,6
Porcentaje;Comunitat Valenciana;2023;1,1
Porcentaje;Comunitat Valenciana;2022;1,1
Porcentaje;Comunitat Valenciana;2021;0,9
Porcentaje;Comunitat Valenciana;2020;0,8
Porcentaje;Comunitat Valenciana;2019;1,2
Porcentaje;Comunitat Valenciana;2018;1,1
Porcentaje;Comunitat Valenciana;2017;1,2
Porcentaje;Comunitat Valenciana;2016;0,8
Porcentaje;Comunitat Valenciana;2015;0,9
Porcentaje;Comunitat Valenciana;2014;0,8
Porcentaje;Comunitat Valenciana;2013;1,2
Porcentaje;Comunitat Valenciana;2012;1,2
Porcentaje;Comunitat Valenciana;2011;0,9
Porcentaje;Comunitat Valenciana;2010;0,8
Porcentaje;Comunitat Valenciana;2009;0,8
Porcentaje;Comunitat Valenciana;2008;0,9
Porcentaje;Comunitat Valenciana;2007;1,0
Porcentaje;Comunitat Valenciana;2006;1,0
Porcentaje;Extremadura;2023;0,7
Porcentaje;Extremadura;2022;0,8
Porcentaje;Extremadura;2021;0,8
