Organismos;Indicador;Naturaleza económica del gasto;periodo;Total
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Gastos financieros;2020;0,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Gastos financieros;2019;0,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Gastos financieros;2018;0,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Transferencias corrientes;2023;672,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Transferencias corrientes;2022;634,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Transferencias corrientes;2021;586,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Transferencias corrientes;2020;3.533,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Transferencias corrientes;2019;511,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Transferencias corrientes;2018;462,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;GASTOS DE CAPITAL;2023;214,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;GASTOS DE CAPITAL;2022;261,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;GASTOS DE CAPITAL;2021;140,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;GASTOS DE CAPITAL;2020;208,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;GASTOS DE CAPITAL;2019;175,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;GASTOS DE CAPITAL;2018;93,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Inversiones reales;2023;214,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Inversiones reales;2022;261,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Inversiones reales;2021;140,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Inversiones reales;2020;208,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Inversiones reales;2019;175,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Inversiones reales;2018;93,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Transferencias de capital;2023;0,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Transferencias de capital;2022;0,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Transferencias de capital;2021;0,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Transferencias de capital;2020;0,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Transferencias de capital;2019;0,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;Transferencias de capital;2018;0,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;ACTIVOS Y PASIVOS FINANCIEROS;2023;0,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;ACTIVOS Y PASIVOS FINANCIEROS;2022;2,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;ACTIVOS Y PASIVOS FINANCIEROS;2021;0,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;ACTIVOS Y PASIVOS FINANCIEROS;2020;0,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;ACTIVOS Y PASIVOS FINANCIEROS;2019;0,0
Agencia Española de Protección de la Salud en el Deporte;Valores absolutos;ACTIVOS Y PASIVOS FINANCIEROS;2018;3,0
