Tipo de entidad;Indicador;Comunidad autónoma;periodo;Total
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Navarra, Comunidad Foral de;2010;65.490
AYUNTAMIENTOS;Valores absolutos (Miles de euros);País Vasco;2023;224.280
AYUNTAMIENTOS;Valores absolutos (Miles de euros);País Vasco;2022;197.419
AYUNTAMIENTOS;Valores absolutos (Miles de euros);País Vasco;2021;171.179
AYUNTAMIENTOS;Valores absolutos (Miles de euros);País Vasco;2020;157.898
AYUNTAMIENTOS;Valores absolutos (Miles de euros);País Vasco;2019;169.665
AYUNTAMIENTOS;Valores absolutos (Miles de euros);País Vasco;2018;158.667
AYUNTAMIENTOS;Valores absolutos (Miles de euros);País Vasco;2017;150.796
AYUNTAMIENTOS;Valores absolutos (Miles de euros);País Vasco;2016;154.211
AYUNTAMIENTOS;Valores absolutos (Miles de euros);País Vasco;2015;158.600
AYUNTAMIENTOS;Valores absolutos (Miles de euros);País Vasco;2014;..
AYUNTAMIENTOS;Valores absolutos (Miles de euros);País Vasco;2013;..
AYUNTAMIENTOS;Valores absolutos (Miles de euros);País Vasco;2012;139.651
AYUNTAMIENTOS;Valores absolutos (Miles de euros);País Vasco;2011;162.669
AYUNTAMIENTOS;Valores absolutos (Miles de euros);País Vasco;2010;197.589
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Rioja, La;2023;22.578
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Rioja, La;2022;23.850
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Rioja, La;2021;18.498
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Rioja, La;2020;20.667
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Rioja, La;2019;19.173
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Rioja, La;2018;18.367
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Rioja, La;2017;16.784
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Rioja, La;2016;15.624
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Rioja, La;2015;17.864
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Rioja, La;2014;19.732
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Rioja, La;2013;16.572
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Rioja, La;2012;18.122
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Rioja, La;2011;22.676
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Rioja, La;2010;27.928
AYUNTAMIENTOS;Porcentaje;TOTAL;2023;100,0
AYUNTAMIENTOS;Porcentaje;TOTAL;2022;100,0
AYUNTAMIENTOS;Porcentaje;TOTAL;2021;100,0
AYUNTAMIENTOS;Porcentaje;TOTAL;2020;100,0
AYUNTAMIENTOS;Porcentaje;TOTAL;2019;100,0
AYUNTAMIENTOS;Porcentaje;TOTAL;2018;100,0
AYUNTAMIENTOS;Porcentaje;TOTAL;2017;100,0
AYUNTAMIENTOS;Porcentaje;TOTAL;2016;100,0
AYUNTAMIENTOS;Porcentaje;TOTAL;2015;100,0
AYUNTAMIENTOS;Porcentaje;TOTAL;2014;..
AYUNTAMIENTOS;Porcentaje;TOTAL;2013;..
AYUNTAMIENTOS;Porcentaje;TOTAL;2012;100,0
AYUNTAMIENTOS;Porcentaje;TOTAL;2011;100,0
AYUNTAMIENTOS;Porcentaje;TOTAL;2010;100,0
AYUNTAMIENTOS;Porcentaje;SUBTOTAL (Sin País Vasco y Navarra);2023;..
AYUNTAMIENTOS;Porcentaje;SUBTOTAL (Sin País Vasco y Navarra);2022;..
AYUNTAMIENTOS;Porcentaje;SUBTOTAL (Sin País Vasco y Navarra);2021;..
AYUNTAMIENTOS;Porcentaje;SUBTOTAL (Sin País Vasco y Navarra);2020;..
AYUNTAMIENTOS;Porcentaje;SUBTOTAL (Sin País Vasco y Navarra);2019;..
AYUNTAMIENTOS;Porcentaje;SUBTOTAL (Sin País Vasco y Navarra);2018;..
AYUNTAMIENTOS;Porcentaje;SUBTOTAL (Sin País Vasco y Navarra);2017;..
AYUNTAMIENTOS;Porcentaje;SUBTOTAL (Sin País Vasco y Navarra);2016;..
AYUNTAMIENTOS;Porcentaje;SUBTOTAL (Sin País Vasco y Navarra);2015;..
AYUNTAMIENTOS;Porcentaje;SUBTOTAL (Sin País Vasco y Navarra);2014;..
AYUNTAMIENTOS;Porcentaje;SUBTOTAL (Sin País Vasco y Navarra);2013;..
AYUNTAMIENTOS;Porcentaje;SUBTOTAL (Sin País Vasco y Navarra);2012;..
AYUNTAMIENTOS;Porcentaje;SUBTOTAL (Sin País Vasco y Navarra);2011;..
