Destino del gasto;Indicador;Naturaleza económica del gasto;periodo;Total
TOTAL;Porcentaje;2.2. Transferencias de capital;2018;100,0
TOTAL;Porcentaje;2.2. Transferencias de capital;2017;100,0
TOTAL;Porcentaje;2.2. Transferencias de capital;2016;100,0
TOTAL;Porcentaje;2.2. Transferencias de capital;2015;100,0
TOTAL;Porcentaje;2.2. Transferencias de capital;2014;100,0
TOTAL;Porcentaje;2.2. Transferencias de capital;2013;100,0
TOTAL;Porcentaje;2.2. Transferencias de capital;2012;100,0
TOTAL;Porcentaje;2.2. Transferencias de capital;2011;100,0
TOTAL;Porcentaje;2.2. Transferencias de capital;2010;100,0
TOTAL;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2023;100,0
TOTAL;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2022;100,0
TOTAL;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2021;100,0
TOTAL;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2020;100,0
TOTAL;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2019;100,0
TOTAL;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2018;100,0
TOTAL;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2017;100,0
TOTAL;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2016;100,0
TOTAL;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2015;100,0
TOTAL;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2014;100,0
TOTAL;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2013;100,0
TOTAL;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2012;100,0
TOTAL;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2011;100,0
TOTAL;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2010;100,0
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);TOTAL;2023;233.067
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);TOTAL;2022;218.753
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);TOTAL;2021;186.424
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);TOTAL;2020;181.828
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);TOTAL;2019;178.109
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);TOTAL;2018;174.817
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);TOTAL;2017;141.612
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);TOTAL;2016;142.090
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);TOTAL;2015;136.782
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);TOTAL;2014;125.636
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);TOTAL;2013;149.961
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);TOTAL;2012;160.862
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);TOTAL;2011;136.346
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);TOTAL;2010;155.716
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2023;226.586
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2022;207.368
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2021;175.037
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2020;176.680
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2019;169.618
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2018;151.559
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2017;132.713
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2016;136.871
Fomento y apoyo a las actividades deportivas;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2015;127.890
