Comunidad autónoma y tamaño del municipio;Indicador;Abonados;periodo;Total
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;2022;9,3
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;2022;23,1
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;22,7
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;2022;7,5
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;2022;15,4
Madrid (Comunidad de);En % de la población total de cada colectivo;Total;2022;100
Madrid (Comunidad de);En % de la población total de cada colectivo;Abonados o socios: Total;2022;35,4
Madrid (Comunidad de);En % de la población total de cada colectivo;Abonados o socios: Públicos;2022;12,0
Madrid (Comunidad de);En % de la población total de cada colectivo;Abonados o socios: Privados;2022;25,3
Madrid (Comunidad de);En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;2022;23,7
Madrid (Comunidad de);En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;2022;7,6
Madrid (Comunidad de);En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;2022;17,1
Madrid (Comunidad de);En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;14,3
Madrid (Comunidad de);En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;2022;5,1
Madrid (Comunidad de);En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;2022;10,1
Madrid (Comunidad de);En % de la población que practicó deporte en el último año de cada colectivo;Total;2022;100
Madrid (Comunidad de);En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;2022;51,2
Madrid (Comunidad de);En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;2022;17,5
Madrid (Comunidad de);En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;2022;36,6
Madrid (Comunidad de);En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;2022;34,6
Madrid (Comunidad de);En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;2022;11,3
Madrid (Comunidad de);En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;2022;24,7
Madrid (Comunidad de);En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;20,8
