Federación;Categoría;Sexo;periodo;Total
Aeronáutica;TOTAL;TOTAL;2007;5
Aeronáutica;TOTAL;TOTAL;2006;6
Aeronáutica;TOTAL;TOTAL;2005;0
Aeronáutica;TOTAL;Hombres;2024;8
Aeronáutica;TOTAL;Hombres;2023;9
Aeronáutica;TOTAL;Hombres;2022;2
Aeronáutica;TOTAL;Hombres;2021;5
Aeronáutica;TOTAL;Hombres;2020;0
Aeronáutica;TOTAL;Hombres;2019;1
Aeronáutica;TOTAL;Hombres;2018;2
Aeronáutica;TOTAL;Hombres;2017;0
Aeronáutica;TOTAL;Hombres;2016;4
Aeronáutica;TOTAL;Hombres;2015;21
Aeronáutica;TOTAL;Hombres;2014;0
Aeronáutica;TOTAL;Hombres;2013;0
Aeronáutica;TOTAL;Hombres;2012;1
Aeronáutica;TOTAL;Hombres;2011;2
Aeronáutica;TOTAL;Hombres;2010;2
Aeronáutica;TOTAL;Hombres;2009;1
Aeronáutica;TOTAL;Hombres;2008;3
Aeronáutica;TOTAL;Hombres;2007;5
Aeronáutica;TOTAL;Hombres;2006;6
Aeronáutica;TOTAL;Hombres;2005;0
Aeronáutica;TOTAL;Mujeres;2024;0
Aeronáutica;TOTAL;Mujeres;2023;0
Aeronáutica;TOTAL;Mujeres;2022;0
Aeronáutica;TOTAL;Mujeres;2021;0
Aeronáutica;TOTAL;Mujeres;2020;0
Aeronáutica;TOTAL;Mujeres;2019;1
Aeronáutica;TOTAL;Mujeres;2018;0
Aeronáutica;TOTAL;Mujeres;2017;0
Aeronáutica;TOTAL;Mujeres;2016;0
Aeronáutica;TOTAL;Mujeres;2015;1
Aeronáutica;TOTAL;Mujeres;2014;0
Aeronáutica;TOTAL;Mujeres;2013;0
Aeronáutica;TOTAL;Mujeres;2012;1
Aeronáutica;TOTAL;Mujeres;2011;1
Aeronáutica;TOTAL;Mujeres;2010;1
Aeronáutica;TOTAL;Mujeres;2009;2
Aeronáutica;TOTAL;Mujeres;2008;0
Aeronáutica;TOTAL;Mujeres;2007;0
Aeronáutica;TOTAL;Mujeres;2006;0
Aeronáutica;TOTAL;Mujeres;2005;0
Aeronáutica;Categoría Absoluta;TOTAL;2024;0
Aeronáutica;Categoría Absoluta;TOTAL;2023;5
Aeronáutica;Categoría Absoluta;TOTAL;2022;2
Aeronáutica;Categoría Absoluta;TOTAL;2021;5
Aeronáutica;Categoría Absoluta;TOTAL;2020;0
Aeronáutica;Categoría Absoluta;TOTAL;2019;2
Aeronáutica;Categoría Absoluta;TOTAL;2018;2
Aeronáutica;Categoría Absoluta;TOTAL;2017;0
Aeronáutica;Categoría Absoluta;TOTAL;2016;4
Aeronáutica;Categoría Absoluta;TOTAL;2015;22
Aeronáutica;Categoría Absoluta;TOTAL;2014;0
Aeronáutica;Categoría Absoluta;TOTAL;2013;0
Aeronáutica;Categoría Absoluta;TOTAL;2012;2
Aeronáutica;Categoría Absoluta;TOTAL;2011;3
Aeronáutica;Categoría Absoluta;TOTAL;2010;3
Aeronáutica;Categoría Absoluta;TOTAL;2009;3
Aeronáutica;Categoría Absoluta;TOTAL;2008;3
Aeronáutica;Categoría Absoluta;TOTAL;2007;5
Aeronáutica;Categoría Absoluta;TOTAL;2006;6
Aeronáutica;Categoría Absoluta;TOTAL;2005;0
Aeronáutica;Categoría Absoluta;Hombres;2024;0
Aeronáutica;Categoría Absoluta;Hombres;2023;5
Aeronáutica;Categoría Absoluta;Hombres;2022;2
Aeronáutica;Categoría Absoluta;Hombres;2021;5
Aeronáutica;Categoría Absoluta;Hombres;2020;0
Aeronáutica;Categoría Absoluta;Hombres;2019;1
Aeronáutica;Categoría Absoluta;Hombres;2018;2
Aeronáutica;Categoría Absoluta;Hombres;2017;0
Aeronáutica;Categoría Absoluta;Hombres;2016;4
Aeronáutica;Categoría Absoluta;Hombres;2015;21
Aeronáutica;Categoría Absoluta;Hombres;2014;0
Aeronáutica;Categoría Absoluta;Hombres;2013;0
Aeronáutica;Categoría Absoluta;Hombres;2012;1
Aeronáutica;Categoría Absoluta;Hombres;2011;2
Aeronáutica;Categoría Absoluta;Hombres;2010;2
Aeronáutica;Categoría Absoluta;Hombres;2009;1
Aeronáutica;Categoría Absoluta;Hombres;2008;3
Aeronáutica;Categoría Absoluta;Hombres;2007;5
Aeronáutica;Categoría Absoluta;Hombres;2006;6
Aeronáutica;Categoría Absoluta;Hombres;2005;0
Aeronáutica;Categoría Absoluta;Mujeres;2024;0
Aeronáutica;Categoría Absoluta;Mujeres;2023;0
Aeronáutica;Categoría Absoluta;Mujeres;2022;0
Aeronáutica;Categoría Absoluta;Mujeres;2021;0
Aeronáutica;Categoría Absoluta;Mujeres;2020;0
Aeronáutica;Categoría Absoluta;Mujeres;2019;1
Aeronáutica;Categoría Absoluta;Mujeres;2018;0
Aeronáutica;Categoría Absoluta;Mujeres;2017;0
Aeronáutica;Categoría Absoluta;Mujeres;2016;0
Aeronáutica;Categoría Absoluta;Mujeres;2015;1
Aeronáutica;Categoría Absoluta;Mujeres;2014;0
Aeronáutica;Categoría Absoluta;Mujeres;2013;0
Aeronáutica;Categoría Absoluta;Mujeres;2012;1
Aeronáutica;Categoría Absoluta;Mujeres;2011;1
Aeronáutica;Categoría Absoluta;Mujeres;2010;1
Aeronáutica;Categoría Absoluta;Mujeres;2009;2
Aeronáutica;Categoría Absoluta;Mujeres;2008;0
Aeronáutica;Categoría Absoluta;Mujeres;2007;0
Aeronáutica;Categoría Absoluta;Mujeres;2006;0
Aeronáutica;Categoría Absoluta;Mujeres;2005;0
Aeronáutica;Otras categorías;TOTAL;2024;8
Aeronáutica;Otras categorías;TOTAL;2023;4
Aeronáutica;Otras categorías;TOTAL;2022;0
Aeronáutica;Otras categorías;TOTAL;2021;0
Aeronáutica;Otras categorías;TOTAL;2020;0
Aeronáutica;Otras categorías;TOTAL;2019;0
Aeronáutica;Otras categorías;TOTAL;2018;0
Aeronáutica;Otras categorías;TOTAL;2017;0
Aeronáutica;Otras categorías;TOTAL;2016;0
Aeronáutica;Otras categorías;TOTAL;2015;0
Aeronáutica;Otras categorías;TOTAL;2014;0
Aeronáutica;Otras categorías;TOTAL;2013;0
Aeronáutica;Otras categorías;TOTAL;2012;0
Aeronáutica;Otras categorías;TOTAL;2011;0
Aeronáutica;Otras categorías;TOTAL;2010;0
Aeronáutica;Otras categorías;TOTAL;2009;0
Aeronáutica;Otras categorías;TOTAL;2008;0
Aeronáutica;Otras categorías;TOTAL;2007;0
Aeronáutica;Otras categorías;TOTAL;2006;0
Aeronáutica;Otras categorías;TOTAL;2005;0
Aeronáutica;Otras categorías;Hombres;2024;8
Aeronáutica;Otras categorías;Hombres;2023;4
