Federación;Competiciones;periodo;Total
Actividades Subacuáticas;Competiciones internacionales: Campeonatos del mundo;2005;5
Actividades Subacuáticas;Competiciones internacionales: Campeonatos de Europa;2024;1
Actividades Subacuáticas;Competiciones internacionales: Campeonatos de Europa;2023;1
Actividades Subacuáticas;Competiciones internacionales: Campeonatos de Europa;2022;5
Actividades Subacuáticas;Competiciones internacionales: Campeonatos de Europa;2021;0
Actividades Subacuáticas;Competiciones internacionales: Campeonatos de Europa;2020;0
Actividades Subacuáticas;Competiciones internacionales: Campeonatos de Europa;2019;4
Actividades Subacuáticas;Competiciones internacionales: Campeonatos de Europa;2018;1
Actividades Subacuáticas;Competiciones internacionales: Campeonatos de Europa;2017;6
Actividades Subacuáticas;Competiciones internacionales: Campeonatos de Europa;2016;1
Actividades Subacuáticas;Competiciones internacionales: Campeonatos de Europa;2015;2
Actividades Subacuáticas;Competiciones internacionales: Campeonatos de Europa;2014;3
Actividades Subacuáticas;Competiciones internacionales: Campeonatos de Europa;2013;2
Actividades Subacuáticas;Competiciones internacionales: Campeonatos de Europa;2012;6
Actividades Subacuáticas;Competiciones internacionales: Campeonatos de Europa;2011;3
Actividades Subacuáticas;Competiciones internacionales: Campeonatos de Europa;2010;6
Actividades Subacuáticas;Competiciones internacionales: Campeonatos de Europa;2009;3
Actividades Subacuáticas;Competiciones internacionales: Campeonatos de Europa;2008;2
Actividades Subacuáticas;Competiciones internacionales: Campeonatos de Europa;2007;2
Actividades Subacuáticas;Competiciones internacionales: Campeonatos de Europa;2006;2
Actividades Subacuáticas;Competiciones internacionales: Campeonatos de Europa;2005;2
Actividades Subacuáticas;Competiciones internacionales: Otros;2024;4
Actividades Subacuáticas;Competiciones internacionales: Otros;2023;4
Actividades Subacuáticas;Competiciones internacionales: Otros;2022;2
Actividades Subacuáticas;Competiciones internacionales: Otros;2021;4
Actividades Subacuáticas;Competiciones internacionales: Otros;2020;1
Actividades Subacuáticas;Competiciones internacionales: Otros;2019;1
Actividades Subacuáticas;Competiciones internacionales: Otros;2018;5
Actividades Subacuáticas;Competiciones internacionales: Otros;2017;3
Actividades Subacuáticas;Competiciones internacionales: Otros;2016;4
Actividades Subacuáticas;Competiciones internacionales: Otros;2015;4
Actividades Subacuáticas;Competiciones internacionales: Otros;2014;5
Actividades Subacuáticas;Competiciones internacionales: Otros;2013;2
Actividades Subacuáticas;Competiciones internacionales: Otros;2012;15
Actividades Subacuáticas;Competiciones internacionales: Otros;2011;17
Actividades Subacuáticas;Competiciones internacionales: Otros;2010;18
Actividades Subacuáticas;Competiciones internacionales: Otros;2009;12
Actividades Subacuáticas;Competiciones internacionales: Otros;2008;15
Actividades Subacuáticas;Competiciones internacionales: Otros;2007;6
Actividades Subacuáticas;Competiciones internacionales: Otros;2006;6
Actividades Subacuáticas;Competiciones internacionales: Otros;2005;7
Aeronáutica;TOTAL;2024;135
Aeronáutica;TOTAL;2023;128
Aeronáutica;TOTAL;2022;133
Aeronáutica;TOTAL;2021;107
Aeronáutica;TOTAL;2020;35
Aeronáutica;TOTAL;2019;130
Aeronáutica;TOTAL;2018;145
Aeronáutica;TOTAL;2017;132
Aeronáutica;TOTAL;2016;149
Aeronáutica;TOTAL;2015;128
Aeronáutica;TOTAL;2014;128
Aeronáutica;TOTAL;2013;184
Aeronáutica;TOTAL;2012;140
Aeronáutica;TOTAL;2011;130
Aeronáutica;TOTAL;2010;124
Aeronáutica;TOTAL;2009;121
Aeronáutica;TOTAL;2008;105
Aeronáutica;TOTAL;2007;108
Aeronáutica;TOTAL;2006;60
Aeronáutica;TOTAL;2005;54
Aeronáutica;Competiciones estatales: Total;2024;74
Aeronáutica;Competiciones estatales: Total;2023;69
Aeronáutica;Competiciones estatales: Total;2022;70
Aeronáutica;Competiciones estatales: Total;2021;62
Aeronáutica;Competiciones estatales: Total;2020;24
Aeronáutica;Competiciones estatales: Total;2019;65
Aeronáutica;Competiciones estatales: Total;2018;92
Aeronáutica;Competiciones estatales: Total;2017;86
Aeronáutica;Competiciones estatales: Total;2016;100
Aeronáutica;Competiciones estatales: Total;2015;79
Aeronáutica;Competiciones estatales: Total;2014;79
Aeronáutica;Competiciones estatales: Total;2013;121
Aeronáutica;Competiciones estatales: Total;2012;91
Aeronáutica;Competiciones estatales: Total;2011;97
Aeronáutica;Competiciones estatales: Total;2010;84
Aeronáutica;Competiciones estatales: Total;2009;84
Aeronáutica;Competiciones estatales: Total;2008;71
Aeronáutica;Competiciones estatales: Total;2007;75
Aeronáutica;Competiciones estatales: Total;2006;33
Aeronáutica;Competiciones estatales: Total;2005;26
Aeronáutica;Competiciones estatales: Ligas;2024;4
Aeronáutica;Competiciones estatales: Ligas;2023;4
Aeronáutica;Competiciones estatales: Ligas;2022;4
Aeronáutica;Competiciones estatales: Ligas;2021;4
Aeronáutica;Competiciones estatales: Ligas;2020;3
Aeronáutica;Competiciones estatales: Ligas;2019;6
Aeronáutica;Competiciones estatales: Ligas;2018;9
Aeronáutica;Competiciones estatales: Ligas;2017;6
Aeronáutica;Competiciones estatales: Ligas;2016;6
Aeronáutica;Competiciones estatales: Ligas;2015;2
Aeronáutica;Competiciones estatales: Ligas;2014;5
Aeronáutica;Competiciones estatales: Ligas;2013;7
Aeronáutica;Competiciones estatales: Ligas;2012;5
Aeronáutica;Competiciones estatales: Ligas;2011;5
Aeronáutica;Competiciones estatales: Ligas;2010;7
Aeronáutica;Competiciones estatales: Ligas;2009;8
Aeronáutica;Competiciones estatales: Ligas;2008;7
Aeronáutica;Competiciones estatales: Ligas;2007;9
Aeronáutica;Competiciones estatales: Ligas;2006;6
Aeronáutica;Competiciones estatales: Ligas;2005;0
Aeronáutica;Competiciones estatales: Campeonatos de España;2024;39
Aeronáutica;Competiciones estatales: Campeonatos de España;2023;33
Aeronáutica;Competiciones estatales: Campeonatos de España;2022;33
Aeronáutica;Competiciones estatales: Campeonatos de España;2021;30
Aeronáutica;Competiciones estatales: Campeonatos de España;2020;10
Aeronáutica;Competiciones estatales: Campeonatos de España;2019;28
Aeronáutica;Competiciones estatales: Campeonatos de España;2018;28
Aeronáutica;Competiciones estatales: Campeonatos de España;2017;28
Aeronáutica;Competiciones estatales: Campeonatos de España;2016;28
Aeronáutica;Competiciones estatales: Campeonatos de España;2015;27
Aeronáutica;Competiciones estatales: Campeonatos de España;2014;28
Aeronáutica;Competiciones estatales: Campeonatos de España;2013;34
Aeronáutica;Competiciones estatales: Campeonatos de España;2012;32
Aeronáutica;Competiciones estatales: Campeonatos de España;2011;27
Aeronáutica;Competiciones estatales: Campeonatos de España;2010;29
Aeronáutica;Competiciones estatales: Campeonatos de España;2009;25
Aeronáutica;Competiciones estatales: Campeonatos de España;2008;26
Aeronáutica;Competiciones estatales: Campeonatos de España;2007;28
Aeronáutica;Competiciones estatales: Campeonatos de España;2006;23
Aeronáutica;Competiciones estatales: Campeonatos de España;2005;26
Aeronáutica;Competiciones estatales: Otros;2024;31
Aeronáutica;Competiciones estatales: Otros;2023;32
Aeronáutica;Competiciones estatales: Otros;2022;33
Aeronáutica;Competiciones estatales: Otros;2021;28
Aeronáutica;Competiciones estatales: Otros;2020;11
Aeronáutica;Competiciones estatales: Otros;2019;31
Aeronáutica;Competiciones estatales: Otros;2018;55
Aeronáutica;Competiciones estatales: Otros;2017;52
Aeronáutica;Competiciones estatales: Otros;2016;66
Aeronáutica;Competiciones estatales: Otros;2015;50
