Federación;Indicador;Medallas;periodo;Total
Actividades Subacuáticas;Campeonatos de Europa;TOTAL;2005;2
Actividades Subacuáticas;Campeonatos de Europa;Oro;2024;1
Actividades Subacuáticas;Campeonatos de Europa;Oro;2023;0
Actividades Subacuáticas;Campeonatos de Europa;Oro;2022;0
Actividades Subacuáticas;Campeonatos de Europa;Oro;2021;0
Actividades Subacuáticas;Campeonatos de Europa;Oro;2020;0
Actividades Subacuáticas;Campeonatos de Europa;Oro;2019;2
Actividades Subacuáticas;Campeonatos de Europa;Oro;2018;0
Actividades Subacuáticas;Campeonatos de Europa;Oro;2017;1
Actividades Subacuáticas;Campeonatos de Europa;Oro;2016;2
Actividades Subacuáticas;Campeonatos de Europa;Oro;2015;2
Actividades Subacuáticas;Campeonatos de Europa;Oro;2014;0
Actividades Subacuáticas;Campeonatos de Europa;Oro;2013;1
Actividades Subacuáticas;Campeonatos de Europa;Oro;2012;0
Actividades Subacuáticas;Campeonatos de Europa;Oro;2011;1
Actividades Subacuáticas;Campeonatos de Europa;Oro;2010;1
Actividades Subacuáticas;Campeonatos de Europa;Oro;2009;2
Actividades Subacuáticas;Campeonatos de Europa;Oro;2008;0
Actividades Subacuáticas;Campeonatos de Europa;Oro;2007;1
Actividades Subacuáticas;Campeonatos de Europa;Oro;2006;0
Actividades Subacuáticas;Campeonatos de Europa;Oro;2005;1
Actividades Subacuáticas;Campeonatos de Europa;Plata;2024;0
Actividades Subacuáticas;Campeonatos de Europa;Plata;2023;1
Actividades Subacuáticas;Campeonatos de Europa;Plata;2022;0
Actividades Subacuáticas;Campeonatos de Europa;Plata;2021;0
Actividades Subacuáticas;Campeonatos de Europa;Plata;2020;0
Actividades Subacuáticas;Campeonatos de Europa;Plata;2019;3
Actividades Subacuáticas;Campeonatos de Europa;Plata;2018;0
Actividades Subacuáticas;Campeonatos de Europa;Plata;2017;3
Actividades Subacuáticas;Campeonatos de Europa;Plata;2016;1
Actividades Subacuáticas;Campeonatos de Europa;Plata;2015;3
Actividades Subacuáticas;Campeonatos de Europa;Plata;2014;1
Actividades Subacuáticas;Campeonatos de Europa;Plata;2013;2
Actividades Subacuáticas;Campeonatos de Europa;Plata;2012;1
Actividades Subacuáticas;Campeonatos de Europa;Plata;2011;1
Actividades Subacuáticas;Campeonatos de Europa;Plata;2010;1
Actividades Subacuáticas;Campeonatos de Europa;Plata;2009;0
Actividades Subacuáticas;Campeonatos de Europa;Plata;2008;1
Actividades Subacuáticas;Campeonatos de Europa;Plata;2007;1
Actividades Subacuáticas;Campeonatos de Europa;Plata;2006;0
Actividades Subacuáticas;Campeonatos de Europa;Plata;2005;1
Actividades Subacuáticas;Campeonatos de Europa;Bronce;2024;1
Actividades Subacuáticas;Campeonatos de Europa;Bronce;2023;0
Actividades Subacuáticas;Campeonatos de Europa;Bronce;2022;0
Actividades Subacuáticas;Campeonatos de Europa;Bronce;2021;0
Actividades Subacuáticas;Campeonatos de Europa;Bronce;2020;0
Actividades Subacuáticas;Campeonatos de Europa;Bronce;2019;2
Actividades Subacuáticas;Campeonatos de Europa;Bronce;2018;0
Actividades Subacuáticas;Campeonatos de Europa;Bronce;2017;1
Actividades Subacuáticas;Campeonatos de Europa;Bronce;2016;0
Actividades Subacuáticas;Campeonatos de Europa;Bronce;2015;2
Actividades Subacuáticas;Campeonatos de Europa;Bronce;2014;0
Actividades Subacuáticas;Campeonatos de Europa;Bronce;2013;2
Actividades Subacuáticas;Campeonatos de Europa;Bronce;2012;2
Actividades Subacuáticas;Campeonatos de Europa;Bronce;2011;1
Actividades Subacuáticas;Campeonatos de Europa;Bronce;2010;0
Actividades Subacuáticas;Campeonatos de Europa;Bronce;2009;1
Actividades Subacuáticas;Campeonatos de Europa;Bronce;2008;0
Actividades Subacuáticas;Campeonatos de Europa;Bronce;2007;0
Actividades Subacuáticas;Campeonatos de Europa;Bronce;2006;0
Actividades Subacuáticas;Campeonatos de Europa;Bronce;2005;0
Aeronáutica;TOTAL;TOTAL;2024;10
Aeronáutica;TOTAL;TOTAL;2023;13
Aeronáutica;TOTAL;TOTAL;2022;0
Aeronáutica;TOTAL;TOTAL;2021;9
Aeronáutica;TOTAL;TOTAL;2020;0
Aeronáutica;TOTAL;TOTAL;2019;6
Aeronáutica;TOTAL;TOTAL;2018;8
Aeronáutica;TOTAL;TOTAL;2017;8
Aeronáutica;TOTAL;TOTAL;2016;10
Aeronáutica;TOTAL;TOTAL;2015;14
Aeronáutica;TOTAL;TOTAL;2014;8
Aeronáutica;TOTAL;TOTAL;2013;4
Aeronáutica;TOTAL;TOTAL;2012;14
Aeronáutica;TOTAL;TOTAL;2011;9
Aeronáutica;TOTAL;TOTAL;2010;3
Aeronáutica;TOTAL;TOTAL;2009;9
Aeronáutica;TOTAL;TOTAL;2008;15
Aeronáutica;TOTAL;TOTAL;2007;9
Aeronáutica;TOTAL;TOTAL;2006;9
Aeronáutica;TOTAL;TOTAL;2005;6
Aeronáutica;TOTAL;Oro;2024;0
Aeronáutica;TOTAL;Oro;2023;8
Aeronáutica;TOTAL;Oro;2022;0
Aeronáutica;TOTAL;Oro;2021;1
Aeronáutica;TOTAL;Oro;2020;0
Aeronáutica;TOTAL;Oro;2019;2
Aeronáutica;TOTAL;Oro;2018;2
Aeronáutica;TOTAL;Oro;2017;3
Aeronáutica;TOTAL;Oro;2016;1
Aeronáutica;TOTAL;Oro;2015;6
Aeronáutica;TOTAL;Oro;2014;3
Aeronáutica;TOTAL;Oro;2013;2
Aeronáutica;TOTAL;Oro;2012;3
Aeronáutica;TOTAL;Oro;2011;3
Aeronáutica;TOTAL;Oro;2010;0
Aeronáutica;TOTAL;Oro;2009;5
Aeronáutica;TOTAL;Oro;2008;7
Aeronáutica;TOTAL;Oro;2007;6
Aeronáutica;TOTAL;Oro;2006;4
Aeronáutica;TOTAL;Oro;2005;0
Aeronáutica;TOTAL;Plata;2024;5
Aeronáutica;TOTAL;Plata;2023;2
Aeronáutica;TOTAL;Plata;2022;0
Aeronáutica;TOTAL;Plata;2021;4
Aeronáutica;TOTAL;Plata;2020;0
Aeronáutica;TOTAL;Plata;2019;3
Aeronáutica;TOTAL;Plata;2018;4
Aeronáutica;TOTAL;Plata;2017;1
Aeronáutica;TOTAL;Plata;2016;3
Aeronáutica;TOTAL;Plata;2015;4
Aeronáutica;TOTAL;Plata;2014;3
Aeronáutica;TOTAL;Plata;2013;1
Aeronáutica;TOTAL;Plata;2012;6
Aeronáutica;TOTAL;Plata;2011;3
Aeronáutica;TOTAL;Plata;2010;1
Aeronáutica;TOTAL;Plata;2009;1
Aeronáutica;TOTAL;Plata;2008;5
Aeronáutica;TOTAL;Plata;2007;2
Aeronáutica;TOTAL;Plata;2006;1
Aeronáutica;TOTAL;Plata;2005;1
Aeronáutica;TOTAL;Bronce;2024;5
Aeronáutica;TOTAL;Bronce;2023;3
Aeronáutica;TOTAL;Bronce;2022;0
Aeronáutica;TOTAL;Bronce;2021;4
Aeronáutica;TOTAL;Bronce;2020;0
Aeronáutica;TOTAL;Bronce;2019;1
Aeronáutica;TOTAL;Bronce;2018;2
Aeronáutica;TOTAL;Bronce;2017;4
Aeronáutica;TOTAL;Bronce;2016;6
Aeronáutica;TOTAL;Bronce;2015;4
Aeronáutica;TOTAL;Bronce;2014;2
Aeronáutica;TOTAL;Bronce;2013;1
Aeronáutica;TOTAL;Bronce;2012;5
Aeronáutica;TOTAL;Bronce;2011;3
Aeronáutica;TOTAL;Bronce;2010;2
Aeronáutica;TOTAL;Bronce;2009;3
Aeronáutica;TOTAL;Bronce;2008;3
Aeronáutica;TOTAL;Bronce;2007;1
Aeronáutica;TOTAL;Bronce;2006;4
Aeronáutica;TOTAL;Bronce;2005;5
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2024;5
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2023;10
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2022;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2021;9
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2020;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2019;5
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2018;7
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2017;5
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2016;7
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2015;6
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2014;5
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2013;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2012;11
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2011;1
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2010;2
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2009;6
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2008;8
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2007;8
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2006;7
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2005;3
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2024;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2023;6
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2022;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2021;1
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2020;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2019;1
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2018;1
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2017;1
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2016;1
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2015;1
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2014;2
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2013;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2012;3
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2011;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2010;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2009;4
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2008;4
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2007;5
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2006;4
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2005;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2024;1
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2023;1
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2022;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2021;4
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2020;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2019;3
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2018;4
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2017;1
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2016;3
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2015;2
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2014;3
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2013;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2012;4
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2011;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2010;1
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2009;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2008;2
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2007;2
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2006;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2005;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2024;4
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2023;3
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2022;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2021;4
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2020;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2019;1
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2018;2
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2017;3
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2016;3
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2015;3
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2014;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2013;0
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2012;4
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2011;1
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2010;1
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2009;2
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2008;2
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2007;1
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2006;3
Aeronáutica;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2005;3
Aeronáutica;Campeonatos de Europa;TOTAL;2024;5
Aeronáutica;Campeonatos de Europa;TOTAL;2023;3
Aeronáutica;Campeonatos de Europa;TOTAL;2022;0
Aeronáutica;Campeonatos de Europa;TOTAL;2021;0
Aeronáutica;Campeonatos de Europa;TOTAL;2020;0
Aeronáutica;Campeonatos de Europa;TOTAL;2019;1
Aeronáutica;Campeonatos de Europa;TOTAL;2018;1
Aeronáutica;Campeonatos de Europa;TOTAL;2017;3
Aeronáutica;Campeonatos de Europa;TOTAL;2016;3
Aeronáutica;Campeonatos de Europa;TOTAL;2015;8
Aeronáutica;Campeonatos de Europa;TOTAL;2014;3
Aeronáutica;Campeonatos de Europa;TOTAL;2013;4
Aeronáutica;Campeonatos de Europa;TOTAL;2012;3
Aeronáutica;Campeonatos de Europa;TOTAL;2011;8
Aeronáutica;Campeonatos de Europa;TOTAL;2010;1
Aeronáutica;Campeonatos de Europa;TOTAL;2009;3
Aeronáutica;Campeonatos de Europa;TOTAL;2008;7
Aeronáutica;Campeonatos de Europa;TOTAL;2007;1
Aeronáutica;Campeonatos de Europa;TOTAL;2006;2
Aeronáutica;Campeonatos de Europa;TOTAL;2005;3
Aeronáutica;Campeonatos de Europa;Oro;2024;0
Aeronáutica;Campeonatos de Europa;Oro;2023;2
Aeronáutica;Campeonatos de Europa;Oro;2022;0
Aeronáutica;Campeonatos de Europa;Oro;2021;0
Aeronáutica;Campeonatos de Europa;Oro;2020;0
Aeronáutica;Campeonatos de Europa;Oro;2019;1
Aeronáutica;Campeonatos de Europa;Oro;2018;1
Aeronáutica;Campeonatos de Europa;Oro;2017;2
Aeronáutica;Campeonatos de Europa;Oro;2016;0
Aeronáutica;Campeonatos de Europa;Oro;2015;5
Aeronáutica;Campeonatos de Europa;Oro;2014;1
Aeronáutica;Campeonatos de Europa;Oro;2013;2
Aeronáutica;Campeonatos de Europa;Oro;2012;0
Aeronáutica;Campeonatos de Europa;Oro;2011;3
Aeronáutica;Campeonatos de Europa;Oro;2010;0
Aeronáutica;Campeonatos de Europa;Oro;2009;1
Aeronáutica;Campeonatos de Europa;Oro;2008;3
Aeronáutica;Campeonatos de Europa;Oro;2007;1
Aeronáutica;Campeonatos de Europa;Oro;2006;0
Aeronáutica;Campeonatos de Europa;Oro;2005;0
Aeronáutica;Campeonatos de Europa;Plata;2024;4
Aeronáutica;Campeonatos de Europa;Plata;2023;1
Aeronáutica;Campeonatos de Europa;Plata;2022;0
Aeronáutica;Campeonatos de Europa;Plata;2021;0
Aeronáutica;Campeonatos de Europa;Plata;2020;0
Aeronáutica;Campeonatos de Europa;Plata;2019;0
Aeronáutica;Campeonatos de Europa;Plata;2018;0
Aeronáutica;Campeonatos de Europa;Plata;2017;0
Aeronáutica;Campeonatos de Europa;Plata;2016;0
Aeronáutica;Campeonatos de Europa;Plata;2015;2
Aeronáutica;Campeonatos de Europa;Plata;2014;0
Aeronáutica;Campeonatos de Europa;Plata;2013;1
Aeronáutica;Campeonatos de Europa;Plata;2012;2
Aeronáutica;Campeonatos de Europa;Plata;2011;3
Aeronáutica;Campeonatos de Europa;Plata;2010;0
Aeronáutica;Campeonatos de Europa;Plata;2009;1
Aeronáutica;Campeonatos de Europa;Plata;2008;3
Aeronáutica;Campeonatos de Europa;Plata;2007;0
Aeronáutica;Campeonatos de Europa;Plata;2006;1
Aeronáutica;Campeonatos de Europa;Plata;2005;1
Aeronáutica;Campeonatos de Europa;Bronce;2024;1
Aeronáutica;Campeonatos de Europa;Bronce;2023;0
Aeronáutica;Campeonatos de Europa;Bronce;2022;0
Aeronáutica;Campeonatos de Europa;Bronce;2021;0
Aeronáutica;Campeonatos de Europa;Bronce;2020;0
Aeronáutica;Campeonatos de Europa;Bronce;2019;0
Aeronáutica;Campeonatos de Europa;Bronce;2018;0
Aeronáutica;Campeonatos de Europa;Bronce;2017;1
Aeronáutica;Campeonatos de Europa;Bronce;2016;3
Aeronáutica;Campeonatos de Europa;Bronce;2015;1
Aeronáutica;Campeonatos de Europa;Bronce;2014;2
Aeronáutica;Campeonatos de Europa;Bronce;2013;1
Aeronáutica;Campeonatos de Europa;Bronce;2012;1
Aeronáutica;Campeonatos de Europa;Bronce;2011;2
Aeronáutica;Campeonatos de Europa;Bronce;2010;1
Aeronáutica;Campeonatos de Europa;Bronce;2009;1
Aeronáutica;Campeonatos de Europa;Bronce;2008;1
Aeronáutica;Campeonatos de Europa;Bronce;2007;0
Aeronáutica;Campeonatos de Europa;Bronce;2006;1
Aeronáutica;Campeonatos de Europa;Bronce;2005;2
Ajedrez;TOTAL;TOTAL;2024;1
Ajedrez;TOTAL;TOTAL;2023;0
Ajedrez;TOTAL;TOTAL;2022;2
Ajedrez;TOTAL;TOTAL;2021;2
Ajedrez;TOTAL;TOTAL;2020;0
Ajedrez;TOTAL;TOTAL;2019;9
Ajedrez;TOTAL;TOTAL;2018;1
Ajedrez;TOTAL;TOTAL;2017;1
Ajedrez;TOTAL;TOTAL;2016;4
Ajedrez;TOTAL;TOTAL;2015;0
Ajedrez;TOTAL;TOTAL;2014;1
Ajedrez;TOTAL;TOTAL;2013;3
Ajedrez;TOTAL;TOTAL;2012;2
Ajedrez;TOTAL;TOTAL;2011;1
Ajedrez;TOTAL;TOTAL;2010;0
Ajedrez;TOTAL;TOTAL;2009;2
Ajedrez;TOTAL;TOTAL;2008;2
Ajedrez;TOTAL;TOTAL;2007;1
Ajedrez;TOTAL;TOTAL;2006;0
Ajedrez;TOTAL;TOTAL;2005;1
Ajedrez;TOTAL;Oro;2024;0
Ajedrez;TOTAL;Oro;2023;0
Ajedrez;TOTAL;Oro;2022;1
Ajedrez;TOTAL;Oro;2021;0
Ajedrez;TOTAL;Oro;2020;0
Ajedrez;TOTAL;Oro;2019;3
Ajedrez;TOTAL;Oro;2018;1
Ajedrez;TOTAL;Oro;2017;0
Ajedrez;TOTAL;Oro;2016;1
Ajedrez;TOTAL;Oro;2015;0
Ajedrez;TOTAL;Oro;2014;0
Ajedrez;TOTAL;Oro;2013;0
Ajedrez;TOTAL;Oro;2012;0
Ajedrez;TOTAL;Oro;2011;0
Ajedrez;TOTAL;Oro;2010;0
Ajedrez;TOTAL;Oro;2009;0
Ajedrez;TOTAL;Oro;2008;1
Ajedrez;TOTAL;Oro;2007;0
Ajedrez;TOTAL;Oro;2006;0
Ajedrez;TOTAL;Oro;2005;0
Ajedrez;TOTAL;Plata;2024;1
Ajedrez;TOTAL;Plata;2023;0
Ajedrez;TOTAL;Plata;2022;0
Ajedrez;TOTAL;Plata;2021;0
Ajedrez;TOTAL;Plata;2020;0
Ajedrez;TOTAL;Plata;2019;1
Ajedrez;TOTAL;Plata;2018;0
Ajedrez;TOTAL;Plata;2017;0
Ajedrez;TOTAL;Plata;2016;2
Ajedrez;TOTAL;Plata;2015;0
Ajedrez;TOTAL;Plata;2014;1
Ajedrez;TOTAL;Plata;2013;2
Ajedrez;TOTAL;Plata;2012;1
Ajedrez;TOTAL;Plata;2011;0
Ajedrez;TOTAL;Plata;2010;0
Ajedrez;TOTAL;Plata;2009;2
Ajedrez;TOTAL;Plata;2008;0
Ajedrez;TOTAL;Plata;2007;1
Ajedrez;TOTAL;Plata;2006;0
Ajedrez;TOTAL;Plata;2005;1
Ajedrez;TOTAL;Bronce;2024;0
Ajedrez;TOTAL;Bronce;2023;0
Ajedrez;TOTAL;Bronce;2022;1
Ajedrez;TOTAL;Bronce;2021;2
Ajedrez;TOTAL;Bronce;2020;0
Ajedrez;TOTAL;Bronce;2019;5
Ajedrez;TOTAL;Bronce;2018;0
Ajedrez;TOTAL;Bronce;2017;1
Ajedrez;TOTAL;Bronce;2016;1
Ajedrez;TOTAL;Bronce;2015;0
Ajedrez;TOTAL;Bronce;2014;0
Ajedrez;TOTAL;Bronce;2013;1
Ajedrez;TOTAL;Bronce;2012;1
Ajedrez;TOTAL;Bronce;2011;1
Ajedrez;TOTAL;Bronce;2010;0
Ajedrez;TOTAL;Bronce;2009;0
Ajedrez;TOTAL;Bronce;2008;1
Ajedrez;TOTAL;Bronce;2007;0
Ajedrez;TOTAL;Bronce;2006;0
Ajedrez;TOTAL;Bronce;2005;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2024;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2023;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2022;1
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2021;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2020;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2019;9
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2018;1
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2017;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2016;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2015;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2014;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2013;2
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2012;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2011;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2010;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2009;1
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2008;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2007;1
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2006;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2005;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2024;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2023;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2022;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2021;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2020;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2019;3
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2018;1
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2017;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2016;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2015;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2014;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2013;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2012;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2011;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2010;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2009;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2008;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2007;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2006;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2005;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2024;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2023;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2022;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2021;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2020;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2019;1
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2018;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2017;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2016;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2015;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2014;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2013;2
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2012;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2011;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2010;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2009;1
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2008;0
Ajedrez;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2007;1
