Federación;Clubs deportivos federados;periodo;Total
Ciclismo;Nº de clubs;2009;2.266
Ciclismo;Nº de clubs;2008;2.310
Ciclismo;Nº de clubs;2007;2.042
Ciclismo;Nº medio de licencias;2024;19,4
Ciclismo;Nº medio de licencias;2023;19,0
Ciclismo;Nº medio de licencias;2022;20,0
Ciclismo;Nº medio de licencias;2021;21,5
Ciclismo;Nº medio de licencias;2020;20,8
Ciclismo;Nº medio de licencias;2019;19,3
Ciclismo;Nº medio de licencias;2018;19,9
Ciclismo;Nº medio de licencias;2017;19,9
Ciclismo;Nº medio de licencias;2016;20,0
Ciclismo;Nº medio de licencias;2015;21,2
Ciclismo;Nº medio de licencias;2014;20,7
Ciclismo;Nº medio de licencias;2013;20,6
Ciclismo;Nº medio de licencias;2012;20,3
Ciclismo;Nº medio de licencias;2011;21,3
Ciclismo;Nº medio de licencias;2010;21,5
Ciclismo;Nº medio de licencias;2009;23,8
Ciclismo;Nº medio de licencias;2008;21,9
Ciclismo;Nº medio de licencias;2007;29,9
Colombicultura;Nº de clubs;2024;928
Colombicultura;Nº de clubs;2023;928
Colombicultura;Nº de clubs;2022;926
Colombicultura;Nº de clubs;2021;926
Colombicultura;Nº de clubs;2020;925
Colombicultura;Nº de clubs;2019;1.073
Colombicultura;Nº de clubs;2018;1.069
Colombicultura;Nº de clubs;2017;1.061
Colombicultura;Nº de clubs;2016;1.057
Colombicultura;Nº de clubs;2015;1.054
Colombicultura;Nº de clubs;2014;1.047
Colombicultura;Nº de clubs;2013;1.033
Colombicultura;Nº de clubs;2012;1.028
Colombicultura;Nº de clubs;2011;1.022
Colombicultura;Nº de clubs;2010;904
Colombicultura;Nº de clubs;2009;883
Colombicultura;Nº de clubs;2008;883
Colombicultura;Nº de clubs;2007;883
Colombicultura;Nº medio de licencias;2024;29,0
Colombicultura;Nº medio de licencias;2023;30,2
Colombicultura;Nº medio de licencias;2022;29,0
Colombicultura;Nº medio de licencias;2021;25,5
Colombicultura;Nº medio de licencias;2020;28,9
Colombicultura;Nº medio de licencias;2019;25,0
Colombicultura;Nº medio de licencias;2018;25,2
Colombicultura;Nº medio de licencias;2017;24,0
Colombicultura;Nº medio de licencias;2016;23,5
Colombicultura;Nº medio de licencias;2015;22,5
Colombicultura;Nº medio de licencias;2014;21,5
Colombicultura;Nº medio de licencias;2013;22,2
Colombicultura;Nº medio de licencias;2012;22,6
Colombicultura;Nº medio de licencias;2011;22,9
Colombicultura;Nº medio de licencias;2010;24,9
Colombicultura;Nº medio de licencias;2009;25,1
Colombicultura;Nº medio de licencias;2008;25,1
Colombicultura;Nº medio de licencias;2007;23,2
Colombófila;Nº de clubs;2024;177
Colombófila;Nº de clubs;2023;182
Colombófila;Nº de clubs;2022;193
Colombófila;Nº de clubs;2021;185
Colombófila;Nº de clubs;2020;163
Colombófila;Nº de clubs;2019;169
Colombófila;Nº de clubs;2018;167
Colombófila;Nº de clubs;2017;168
Colombófila;Nº de clubs;2016;176
Colombófila;Nº de clubs;2015;176
Colombófila;Nº de clubs;2014;174
