Indicador;Condición jurídica;periodo;Total
Porcentaje (de empresas vinculadas al deporte);Otras formas jurídicas;2020;31,9
Porcentaje (de empresas vinculadas al deporte);Otras formas jurídicas;2019;31,5
Porcentaje (de empresas vinculadas al deporte);Otras formas jurídicas;2018;31,7
Porcentaje (de empresas vinculadas al deporte);Otras formas jurídicas;2017;30,9
Porcentaje (de empresas vinculadas al deporte);Otras formas jurídicas;2016;30,7
Porcentaje (de empresas vinculadas al deporte);Otras formas jurídicas;2015;30,1
Porcentaje (de empresas vinculadas al deporte);Otras formas jurídicas;2014;29,1
Porcentaje (de empresas vinculadas al deporte);Otras formas jurídicas;2013;27,9
Porcentaje (de empresas vinculadas al deporte);Otras formas jurídicas;2012;26,9
Porcentaje (de empresas vinculadas al deporte);Otras formas jurídicas;2011;27,1
Porcentaje (de empresas vinculadas al deporte);Otras formas jurídicas;2010;26,6
Porcentaje (de empresas vinculadas al deporte);Otras formas jurídicas;2009;25,9
Porcentaje (de empresas vinculadas al deporte);Otras formas jurídicas;2008;27,5
Porcentaje (del total de empresas);TOTAL;2024;100,0
Porcentaje (del total de empresas);TOTAL;2023;100,0
Porcentaje (del total de empresas);TOTAL;2022;100,0
Porcentaje (del total de empresas);TOTAL;2021;100,0
Porcentaje (del total de empresas);TOTAL;2020;100,0
Porcentaje (del total de empresas);TOTAL;2019;100,0
Porcentaje (del total de empresas);TOTAL;2018;100,0
Porcentaje (del total de empresas);TOTAL;2017;100,0
Porcentaje (del total de empresas);TOTAL;2016;100,0
Porcentaje (del total de empresas);TOTAL;2015;100,0
Porcentaje (del total de empresas);TOTAL;2014;100,0
Porcentaje (del total de empresas);TOTAL;2013;100,0
Porcentaje (del total de empresas);TOTAL;2012;100,0
Porcentaje (del total de empresas);TOTAL;2011;100,0
Porcentaje (del total de empresas);TOTAL;2010;100,0
Porcentaje (del total de empresas);TOTAL;2009;100,0
Porcentaje (del total de empresas);TOTAL;2008;100,0
Porcentaje (del total de empresas);Personas físicas;2024;56,5
Porcentaje (del total de empresas);Personas físicas;2023;57,1
Porcentaje (del total de empresas);Personas físicas;2022;55,8
Porcentaje (del total de empresas);Personas físicas;2021;55,8
Porcentaje (del total de empresas);Personas físicas;2020;55,8
Porcentaje (del total de empresas);Personas físicas;2019;54,9
Porcentaje (del total de empresas);Personas físicas;2018;53,5
Porcentaje (del total de empresas);Personas físicas;2017;53,2
Porcentaje (del total de empresas);Personas físicas;2016;52,0
Porcentaje (del total de empresas);Personas físicas;2015;51,1
Porcentaje (del total de empresas);Personas físicas;2014;50,5
Porcentaje (del total de empresas);Personas físicas;2013;51,5
Porcentaje (del total de empresas);Personas físicas;2012;51,8
Porcentaje (del total de empresas);Personas físicas;2011;52,5
Porcentaje (del total de empresas);Personas físicas;2010;53,0
Porcentaje (del total de empresas);Personas físicas;2009;53,5
Porcentaje (del total de empresas);Personas físicas;2008;54,3
Porcentaje (del total de empresas);Sociedades anónimas o de responsabilidad limitadas;2024;33,6
Porcentaje (del total de empresas);Sociedades anónimas o de responsabilidad limitadas;2023;33,0
Porcentaje (del total de empresas);Sociedades anónimas o de responsabilidad limitadas;2022;35,6
Porcentaje (del total de empresas);Sociedades anónimas o de responsabilidad limitadas;2021;35,5
Porcentaje (del total de empresas);Sociedades anónimas o de responsabilidad limitadas;2020;35,5
Porcentaje (del total de empresas);Sociedades anónimas o de responsabilidad limitadas;2019;36,3
Porcentaje (del total de empresas);Sociedades anónimas o de responsabilidad limitadas;2018;37,8
Porcentaje (del total de empresas);Sociedades anónimas o de responsabilidad limitadas;2017;37,9
