Indicador;Número de asalariados;periodo;Total
Porcentaje (de empresas vinculadas al deporte);De 50 a 99 asalariados;2009;0,8
Porcentaje (de empresas vinculadas al deporte);De 50 a 99 asalariados;2008;0,8
Porcentaje (de empresas vinculadas al deporte);De 100 y más asalariados;2024;0,4
Porcentaje (de empresas vinculadas al deporte);De 100 y más asalariados;2023;0,4
Porcentaje (de empresas vinculadas al deporte);De 100 y más asalariados;2022;0,5
Porcentaje (de empresas vinculadas al deporte);De 100 y más asalariados;2021;0,6
Porcentaje (de empresas vinculadas al deporte);De 100 y más asalariados;2020;0,6
Porcentaje (de empresas vinculadas al deporte);De 100 y más asalariados;2019;0,6
Porcentaje (de empresas vinculadas al deporte);De 100 y más asalariados;2018;0,6
Porcentaje (de empresas vinculadas al deporte);De 100 y más asalariados;2017;0,6
Porcentaje (de empresas vinculadas al deporte);De 100 y más asalariados;2016;0,5
Porcentaje (de empresas vinculadas al deporte);De 100 y más asalariados;2015;0,5
Porcentaje (de empresas vinculadas al deporte);De 100 y más asalariados;2014;0,5
Porcentaje (de empresas vinculadas al deporte);De 100 y más asalariados;2013;0,6
Porcentaje (de empresas vinculadas al deporte);De 100 y más asalariados;2012;0,5
Porcentaje (de empresas vinculadas al deporte);De 100 y más asalariados;2011;0,6
Porcentaje (de empresas vinculadas al deporte);De 100 y más asalariados;2010;0,6
Porcentaje (de empresas vinculadas al deporte);De 100 y más asalariados;2009;0,6
Porcentaje (de empresas vinculadas al deporte);De 100 y más asalariados;2008;0,8
Porcentaje (del total de empresas);TOTAL;2024;100,0
Porcentaje (del total de empresas);TOTAL;2023;100,0
Porcentaje (del total de empresas);TOTAL;2022;100,0
Porcentaje (del total de empresas);TOTAL;2021;100,0
Porcentaje (del total de empresas);TOTAL;2020;100,0
Porcentaje (del total de empresas);TOTAL;2019;100,0
Porcentaje (del total de empresas);TOTAL;2018;100,0
Porcentaje (del total de empresas);TOTAL;2017;100,0
Porcentaje (del total de empresas);TOTAL;2016;100,0
Porcentaje (del total de empresas);TOTAL;2015;100,0
Porcentaje (del total de empresas);TOTAL;2014;100,0
Porcentaje (del total de empresas);TOTAL;2013;100,0
Porcentaje (del total de empresas);TOTAL;2012;100,0
Porcentaje (del total de empresas);TOTAL;2011;100,0
Porcentaje (del total de empresas);TOTAL;2010;100,0
Porcentaje (del total de empresas);TOTAL;2009;100,0
Porcentaje (del total de empresas);TOTAL;2008;100,0
Porcentaje (del total de empresas);Sin asalariados;2024;52,0
Porcentaje (del total de empresas);Sin asalariados;2023;53,6
Porcentaje (del total de empresas);Sin asalariados;2022;56,6
Porcentaje (del total de empresas);Sin asalariados;2021;55,8
Porcentaje (del total de empresas);Sin asalariados;2020;56,2
Porcentaje (del total de empresas);Sin asalariados;2019;56,0
Porcentaje (del total de empresas);Sin asalariados;2018;55,3
Porcentaje (del total de empresas);Sin asalariados;2017;55,5
Porcentaje (del total de empresas);Sin asalariados;2016;55,4
Porcentaje (del total de empresas);Sin asalariados;2015;55,0
Porcentaje (del total de empresas);Sin asalariados;2014;53,6
Porcentaje (del total de empresas);Sin asalariados;2013;53,4
Porcentaje (del total de empresas);Sin asalariados;2012;55,2
Porcentaje (del total de empresas);Sin asalariados;2011;55,2
Porcentaje (del total de empresas);Sin asalariados;2010;53,9
Porcentaje (del total de empresas);Sin asalariados;2009;52,7
Porcentaje (del total de empresas);Sin asalariados;2008;51,3
Porcentaje (del total de empresas);De 1 a 5 asalariados;2024;39,1
Porcentaje (del total de empresas);De 1 a 5 asalariados;2023;37,6
Porcentaje (del total de empresas);De 1 a 5 asalariados;2022;35,4
Porcentaje (del total de empresas);De 1 a 5 asalariados;2021;36,4
Porcentaje (del total de empresas);De 1 a 5 asalariados;2020;35,6
Porcentaje (del total de empresas);De 1 a 5 asalariados;2019;35,9
Porcentaje (del total de empresas);De 1 a 5 asalariados;2018;36,4
Porcentaje (del total de empresas);De 1 a 5 asalariados;2017;36,3
Porcentaje (del total de empresas);De 1 a 5 asalariados;2016;36,7
Porcentaje (del total de empresas);De 1 a 5 asalariados;2015;37,3
Porcentaje (del total de empresas);De 1 a 5 asalariados;2014;38,6
Porcentaje (del total de empresas);De 1 a 5 asalariados;2013;38,2
Porcentaje (del total de empresas);De 1 a 5 asalariados;2012;36,1
Porcentaje (del total de empresas);De 1 a 5 asalariados;2011;35,7
Porcentaje (del total de empresas);De 1 a 5 asalariados;2010;36,8
Porcentaje (del total de empresas);De 1 a 5 asalariados;2009;37,3
Porcentaje (del total de empresas);De 1 a 5 asalariados;2008;38,1
Porcentaje (del total de empresas);De 6 a 9 asalariados;2024;4,1
Porcentaje (del total de empresas);De 6 a 9 asalariados;2023;4,0
Porcentaje (del total de empresas);De 6 a 9 asalariados;2022;3,7
Porcentaje (del total de empresas);De 6 a 9 asalariados;2021;3,6
Porcentaje (del total de empresas);De 6 a 9 asalariados;2020;3,7
Porcentaje (del total de empresas);De 6 a 9 asalariados;2019;3,7
Porcentaje (del total de empresas);De 6 a 9 asalariados;2018;3,8
Porcentaje (del total de empresas);De 6 a 9 asalariados;2017;3,7
Porcentaje (del total de empresas);De 6 a 9 asalariados;2016;3,6
Porcentaje (del total de empresas);De 6 a 9 asalariados;2015;3,5
