Indicador;Comunidad autónoma;periodo;Total
Valores absolutos;Asturias, Principado de;2017;729,0
Valores absolutos;Asturias, Principado de;2016;733,0
Valores absolutos;Asturias, Principado de;2015;676,0
Valores absolutos;Asturias, Principado de;2014;636,0
Valores absolutos;Asturias, Principado de;2013;602,0
Valores absolutos;Asturias, Principado de;2012;598,0
Valores absolutos;Asturias, Principado de;2011;576,0
Valores absolutos;Asturias, Principado de;2010;559,0
Valores absolutos;Asturias, Principado de;2009;535,0
Valores absolutos;Asturias, Principado de;2008;514,0
Valores absolutos;Balears, Illes;2024;1.724,0
Valores absolutos;Balears, Illes;2023;1.626,0
Valores absolutos;Balears, Illes;2022;1.639,0
Valores absolutos;Balears, Illes;2021;1.530,0
Valores absolutos;Balears, Illes;2020;1.549,0
Valores absolutos;Balears, Illes;2019;1.495,0
Valores absolutos;Balears, Illes;2018;1.324,0
Valores absolutos;Balears, Illes;2017;1.322,0
Valores absolutos;Balears, Illes;2016;1.272,0
Valores absolutos;Balears, Illes;2015;1.209,0
Valores absolutos;Balears, Illes;2014;1.131,0
Valores absolutos;Balears, Illes;2013;1.103,0
Valores absolutos;Balears, Illes;2012;1.081,0
Valores absolutos;Balears, Illes;2011;1.012,0
Valores absolutos;Balears, Illes;2010;1.009,0
Valores absolutos;Balears, Illes;2009;905,0
Valores absolutos;Balears, Illes;2008;898,0
Valores absolutos;Canarias;2024;2.606,0
Valores absolutos;Canarias;2023;2.431,0
Valores absolutos;Canarias;2022;2.526,0
Valores absolutos;Canarias;2021;2.360,0
Valores absolutos;Canarias;2020;2.408,0
Valores absolutos;Canarias;2019;2.327,0
Valores absolutos;Canarias;2018;2.005,0
Valores absolutos;Canarias;2017;2.017,0
Valores absolutos;Canarias;2016;1.901,0
Valores absolutos;Canarias;2015;1.785,0
Valores absolutos;Canarias;2014;1.636,0
Valores absolutos;Canarias;2013;1.475,0
Valores absolutos;Canarias;2012;1.409,0
Valores absolutos;Canarias;2011;1.329,0
Valores absolutos;Canarias;2010;1.328,0
Valores absolutos;Canarias;2009;1.298,0
Valores absolutos;Canarias;2008;1.290,0
Valores absolutos;Cantabria;2024;702,0
Valores absolutos;Cantabria;2023;666,0
Valores absolutos;Cantabria;2022;624,0
Valores absolutos;Cantabria;2021;579,0
Valores absolutos;Cantabria;2020;584,0
